Name,Danger,Magician level,Remarks,Scores,Absenses,Lupin coef,Quidditch,Disease,Beans,Teacher,StickLevel,Volan-De-Mort
Sedric,37,6,0,2,14,1.33,30,0.74,4,Dumbledore,2,7
Crabbe,19,4,14,2,41,1.18,0,0.27,4,Lupin,2,8
Crabbe,21,4,11,2,38,1.15,0,0.27,4,Sprout,2,6
Sedric,41,1,7,2,21,1.05,23,0.67,4,Trelawney,1,3
Ginny,4,12,0,3,12,0.25,0,0.12,3,Dumbledore,4,8
Draco,14,6,10,2,22,0.67,0,0.22,4,Mcgonagall,2,8
Hermiona,32,12,0,2,0,0.89,0,0.38,4,Dumbledore,4,6
Fred,27,3,0,2,9,1.19,20,0.49,4,Snape,3,2
Fred,24,3,0,2,9,0.33,20,0.49,4,Dumbledore,1,5
Ron,45,2,3,1,27,0.33,23,0.77,2,Hagrid,2,9
Fred,21,3,0,2,9,0.75,20,0.49,4,Dumbledore,3,8
Ginny,5,2,20,3,32,1.34,20,0.32,3,Mcgonagall,2,7
Sedric,35,12,28,2,42,3.13,2,0.46,4,Sprout,4,9
Harry,46,2,9,0,20,0.0,19,0.7,0,Mcgonagall,1,5
Crabbe,18,1,11,2,38,0.0,0,0.27,4,Sprout,1,9
George,46,3,4,2,32,1.1,16,0.64,4,Mcgonagall,3,2
Draco,19,4,0,2,12,0.26,10,0.32,4,Dumbledore,2,3
Harry,45,3,16,0,27,0.0,26,0.77,0,Hagrid,3,6
Crabbe,25,4,0,2,27,0.69,0,0.27,4,Hagrid,4,2
Crabbe,26,3,25,2,52,1.83,0,0.27,4,Mcgonagall,3,1
Crabbe,19,2,0,2,27,0.42,0,0.27,4,Dumbledore,1,8
Sedric,41,6,13,2,27,1.5,17,0.61,4,Hagrid,2,3
Goyle,35,3,15,2,32,0.69,0,0.37,4,Mcgonagall,1,2
Goyle,28,3,29,2,46,1.25,0,0.37,4,Sprout,1,9
Sedric,43,3,7,2,21,0.0,23,0.67,4,Trelawney,1,1
Draco,17,3,10,2,22,0.0,0,0.22,4,Mcgonagall,1,5
George,39,6,0,2,28,1.08,20,0.68,4,Dumbledore,2,9
George,44,4,15,2,43,1.64,5,0.53,4,Lupin,4,4
Ginny,4,6,4,3,16,0.43,4,0.16,3,Sprout,2,8
Hermiona,30,6,19,2,0,2.15,0,0.38,4,Snape,3,8
Crabbe,21,4,14,2,41,0.49,0,0.27,4,Lupin,2,6
Hermiona,36,12,26,2,0,3.08,0,0.38,4,Mcgonagall,4,2
Goyle,33,6,26,2,43,2.59,0,0.37,4,Lupin,3,4
Fred,23,3,0,2,9,0.0,20,0.49,4,Snape,1,6
George,39,4,4,2,32,1.19,16,0.64,4,Mcgonagall,2,9
Ginny,8,4,1,3,13,0.67,1,0.13,3,Lupin,4,4
Ginny,6,3,27,3,39,0.0,27,0.39,3,Snape,1,6
Sedric,42,2,13,2,27,0.76,17,0.61,4,Hagrid,2,2
Crabbe,26,2,11,2,38,0.51,0,0.27,4,Sprout,1,1
Sedric,41,3,5,2,19,1.01,25,0.69,4,Snape,3,3
Draco,13,3,3,2,15,0.0,7,0.29,4,Snape,1,9
Goyle,29,3,15,2,32,1.58,0,0.37,4,Mcgonagall,3,8
Draco,13,3,9,2,21,0.79,1,0.23,4,Trelawney,3,9
Hermiona,37,6,15,2,0,1.86,0,0.38,4,Lupin,2,1
Crabbe,24,2,6,2,33,0.42,0,0.27,4,Trelawney,2,3
George,39,12,23,2,51,3.08,3,0.51,4,Trelawney,4,9
Ginny,6,4,20,3,32,1.62,20,0.32,3,Mcgonagall,4,6
Sedric,40,3,12,2,26,2.29,18,0.62,4,Mcgonagall,3,4
Harry,42,3,16,0,27,0.0,26,0.77,0,Hagrid,3,9
Goyle,30,6,29,2,46,2.11,0,0.37,4,Sprout,2,7
Fred,22,1,7,2,16,0.64,13,0.42,4,Mcgonagall,1,7
Fred,27,6,23,2,32,1.1,3,0.32,4,Sprout,3,2
Ginny,11,2,15,3,27,0.0,15,0.27,3,Hagrid,1,1
Sedric,40,2,28,2,42,0.0,2,0.46,4,Sprout,1,4
Ginny,3,6,27,3,39,1.61,27,0.39,3,Snape,3,9
Ron,47,4,0,1,24,0.65,20,0.74,2,Dumbledore,4,7
Goyle,30,4,26,2,43,1.55,0,0.37,4,Lupin,4,7
George,39,9,11,2,39,2.2,9,0.57,4,Snape,3,9
Fred,28,9,4,2,13,0.7,16,0.45,4,Lupin,3,1
Ron,49,4,27,1,51,1.58,47,1.01,2,Trelawney,4,5
George,39,2,23,2,51,0.0,3,0.51,4,Trelawney,1,9
Harry,41,4,2,0,13,0.0,12,0.63,0,Lupin,2,10
Ron,46,8,0,1,24,0.96,20,0.74,2,Dumbledore,4,8
Draco,18,9,9,2,21,1.19,1,0.23,4,Trelawney,3,4
Harry,46,4,2,0,13,0.0,12,0.63,0,Lupin,4,5
Fred,28,9,4,2,13,1.15,16,0.45,4,Lupin,3,1
Harry,45,6,10,0,21,0.0,20,0.71,0,Trelawney,2,6
Ginny,8,9,0,3,12,0.53,0,0.12,3,Dumbledore,3,4
George,42,2,0,2,28,0.58,20,0.68,4,Dumbledore,2,6
Ron,2,8,27,1,51,0.6,47,0.51,2,Trelawney,4,2
Sedric,38,6,0,2,14,1.05,30,0.74,4,Dumbledore,2,6
Ron,3,12,19,1,43,0.46,39,0.43,2,Lupin,4,1
Hermiona,33,1,15,2,0,0.67,0,0.38,4,Lupin,1,5
Ron,2,1,15,1,39,0.12,35,0.39,2,Snape,1,2
Harry,43,6,9,0,20,0.0,19,0.7,0,Mcgonagall,3,8
Harry,49,4,9,0,20,0.0,19,0.7,0,Mcgonagall,2,2
Draco,17,4,3,2,15,0.99,7,0.29,4,Snape,4,5
Draco,14,6,1,2,13,0.66,9,0.31,4,Lupin,3,8
Ron,45,4,3,1,27,1.19,23,0.77,2,Hagrid,4,9
Crabbe,26,8,14,2,41,1.11,0,0.27,4,Lupin,4,1
Ginny,7,9,27,3,39,1.12,27,0.39,3,Snape,3,5
Sedric,41,4,12,2,26,1.47,18,0.62,4,Mcgonagall,4,3
Draco,20,12,10,2,22,0.83,0,0.22,4,Mcgonagall,4,2
Harry,49,1,10,0,21,0.0,20,0.71,0,Trelawney,1,2
Goyle,29,4,26,2,43,1.52,0,0.37,4,Lupin,2,8
Sedric,43,9,7,2,21,1.1,23,0.67,4,Trelawney,3,1
Ginny,9,3,20,3,32,1.91,20,0.32,3,Mcgonagall,3,3
Hermiona,30,9,15,2,0,0.99,0,0.38,4,Lupin,3,8
Goyle,30,2,4,2,21,1.22,0,0.37,4,Trelawney,2,7
Goyle,29,3,29,2,46,0.0,0,0.37,4,Sprout,1,8
Crabbe,19,12,0,2,27,0.94,0,0.27,4,Hagrid,4,8
George,38,2,4,2,32,0.0,16,0.64,4,Mcgonagall,1,10
Goyle,36,4,22,2,39,2.08,0,0.37,4,Snape,2,1
Fred,22,9,0,2,9,0.97,20,0.49,4,Dumbledore,3,7
Fred,22,8,0,2,9,1.09,20,0.49,4,Snape,4,7
Ron,0,1,19,1,43,0.13,39,0.43,2,Lupin,1,4
Ginny,2,6,0,3,12,0.13,0,0.12,3,Dumbledore,3,10
Ron,1,6,22,1,46,0.51,42,0.46,2,Sprout,3,3
Harry,0,2,9,0,20,0.0,19,0.2,0,Mcgonagall,2,1
Crabbe,22,12,14,2,41,1.79,0,0.27,4,Lupin,4,5
Draco,12,4,3,2,15,0.21,7,0.29,4,Snape,2,10
Sedric,43,2,29,2,43,2.0,1,0.45,4,Lupin,2,1
Draco,17,3,26,2,38,0.0,16,0.38,4,Sprout,1,5
Draco,20,8,26,2,38,1.28,16,0.38,4,Sprout,4,2
Goyle,31,2,29,2,46,0.83,0,0.37,4,Sprout,1,6
Goyle,33,1,4,2,21,0.0,0,0.37,4,Trelawney,1,4
George,44,9,29,2,57,3.21,9,0.57,4,Hagrid,3,4
Hermiona,37,12,26,2,0,1.75,0,0.38,4,Mcgonagall,4,1
Fred,23,2,23,2,32,0.64,3,0.32,4,Sprout,2,6
Harry,0,8,6,0,17,0.0,16,0.17,0,Snape,4,1
Harry,43,2,16,0,27,0.0,26,0.77,0,Hagrid,1,8
George,43,3,0,2,28,1.54,20,0.68,4,Dumbledore,3,5
Crabbe,17,3,18,2,45,0.77,0,0.27,4,Snape,1,10
Crabbe,19,2,6,2,33,0.9,0,0.27,4,Trelawney,2,8
Crabbe,22,6,18,2,45,1.76,0,0.27,4,Snape,3,5
Sedric,40,8,0,2,14,1.99,30,0.74,4,Dumbledore,4,4
Ginny,3,4,0,3,12,0.16,0,0.12,3,Dumbledore,2,9
Goyle,36,9,0,2,17,0.79,0,0.37,4,Dumbledore,3,1
Crabbe,22,3,6,2,33,0.0,0,0.27,4,Trelawney,1,5
Ron,46,3,22,1,46,1.49,42,0.96,2,Sprout,3,8
Ron,3,4,15,1,39,0.25,35,0.39,2,Snape,2,1
Ginny,10,3,1,3,13,0.36,1,0.13,3,Lupin,1,2
Fred,19,4,12,2,21,1.29,8,0.37,4,Trelawney,4,10
Goyle,29,6,29,2,46,2.08,0,0.37,4,Sprout,3,8
Draco,12,4,15,2,27,1.34,5,0.27,4,Hagrid,4,10
George,39,2,29,2,57,0.94,9,0.57,4,Hagrid,2,9
Harry,41,4,10,0,21,0.0,20,0.71,0,Trelawney,4,10
George,46,8,29,2,57,2.08,9,0.57,4,Hagrid,4,2
Ron,48,9,15,1,39,1.38,35,0.89,2,Snape,3,6
Ginny,4,3,4,3,16,0.53,4,0.16,3,Sprout,3,8
Ron,3,2,22,1,46,0.17,42,0.46,2,Sprout,1,1
Draco,21,3,15,2,27,0.0,5,0.27,4,Hagrid,1,1
George,39,3,29,2,57,1.49,9,0.57,4,Hagrid,1,9
Hermiona,30,4,26,2,0,1.55,0,0.38,4,Mcgonagall,2,8
Harry,44,4,2,0,13,0.0,12,0.63,0,Lupin,2,7
Crabbe,21,4,6,2,33,0.75,0,0.27,4,Trelawney,2,6
Hermiona,34,4,29,2,0,2.26,0,0.38,4,Hagrid,2,4
George,47,3,18,2,46,2.86,2,0.5,4,Sprout,3,1
Fred,24,3,12,2,21,0.5,8,0.37,4,Trelawney,1,5
Draco,16,2,26,2,38,1.51,16,0.38,4,Sprout,2,6
Crabbe,21,9,0,2,27,0.92,0,0.27,4,Hagrid,3,6
George,44,9,0,2,28,1.58,20,0.68,4,Dumbledore,3,4
George,47,3,29,2,57,1.67,9,0.57,4,Hagrid,1,1
Hermiona,29,8,15,2,0,1.83,0,0.38,4,Lupin,4,9
Fred,23,12,7,2,16,1.49,13,0.42,4,Mcgonagall,4,6
Goyle,36,3,22,2,39,2.08,0,0.37,4,Snape,3,1
Draco,14,3,26,2,38,1.76,16,0.38,4,Sprout,3,8
Hermiona,31,2,26,2,0,0.79,0,0.38,4,Mcgonagall,2,7
Ginny,8,3,4,3,16,0.4,4,0.16,3,Sprout,3,4
Ron,46,9,22,1,46,0.75,42,0.96,2,Sprout,3,8
George,47,3,4,2,32,2.24,16,0.64,4,Mcgonagall,3,1
George,40,1,18,2,46,0.8,2,0.5,4,Sprout,1,8
Harry,46,12,16,0,27,0.0,26,0.77,0,Hagrid,4,5
Ginny,10,3,9,3,21,0.4,9,0.21,3,Trelawney,1,2
Hermiona,35,8,23,2,0,1.61,0,0.38,4,Trelawney,4,3
Sedric,34,2,7,2,21,0.9,23,0.67,4,Trelawney,1,10
Hermiona,32,1,18,2,0,1.1,0,0.38,4,Sprout,1,6
Crabbe,26,12,6,2,33,0.89,0,0.27,4,Trelawney,4,1
Harry,44,2,6,0,17,0.0,16,0.67,0,Snape,1,7
Ginny,11,4,0,3,12,0.69,0,0.12,3,Dumbledore,4,1
Ginny,10,3,15,3,27,0.52,15,0.27,3,Hagrid,1,2
George,42,12,11,2,39,2.63,9,0.57,4,Snape,4,6
Draco,13,4,1,2,13,0.7,9,0.31,4,Lupin,4,9
Sedric,36,3,5,2,19,1.47,25,0.69,4,Snape,3,8
Goyle,33,6,22,2,39,0.76,0,0.37,4,Snape,2,4
Fred,19,3,0,2,9,0.42,20,0.49,4,Snape,1,10
Ginny,10,3,15,3,27,0.82,15,0.27,3,Hagrid,3,2
Ginny,11,4,27,3,39,2.04,27,0.39,3,Snape,2,1
Ginny,2,9,20,3,32,0.73,20,0.32,3,Mcgonagall,3,10
Sedric,37,3,13,2,27,0.69,17,0.61,4,Hagrid,1,7
Crabbe,24,1,25,2,52,0.68,0,0.27,4,Mcgonagall,1,3
Ginny,4,1,9,3,21,0.0,9,0.21,3,Trelawney,1,8
Ginny,10,9,20,3,32,0.99,20,0.32,3,Mcgonagall,3,2
Ron,49,6,27,1,51,1.67,47,1.01,2,Trelawney,3,5
George,45,3,4,2,32,2.15,16,0.64,4,Mcgonagall,3,3
George,45,2,11,2,39,0.0,9,0.57,4,Snape,1,3
Sedric,39,6,13,2,27,1.86,17,0.61,4,Hagrid,3,5
Harry,44,2,25,0,36,0.0,35,0.86,0,Sprout,1,7
Harry,41,2,9,0,20,0.0,19,0.7,0,Mcgonagall,2,10
Fred,27,3,7,2,16,0.75,13,0.42,4,Mcgonagall,1,2
Crabbe,25,3,18,2,45,1.54,0,0.27,4,Snape,3,2
George,43,2,15,2,43,0.0,5,0.53,4,Lupin,1,5
Sedric,43,9,7,2,21,1.1,23,0.67,4,Trelawney,3,1
Ginny,8,6,15,3,27,1.24,15,0.27,3,Hagrid,2,4
Hermiona,35,4,23,2,0,0.8,0,0.38,4,Trelawney,2,3
George,39,12,0,2,28,1.08,20,0.68,4,Dumbledore,4,9
Hermiona,34,1,18,2,0,0.72,0,0.38,4,Sprout,1,4
Hermiona,30,12,18,2,0,2.39,0,0.38,4,Sprout,4,8
Hermiona,34,6,0,2,0,0.94,0,0.38,4,Dumbledore,2,4
Goyle,36,1,15,2,32,0.71,0,0.37,4,Mcgonagall,1,1
Goyle,27,8,10,2,27,1.54,0,0.37,4,Hagrid,4,10
Ron,2,12,15,1,39,0.24,35,0.39,2,Snape,4,2
Goyle,32,8,29,2,46,3.03,0,0.37,4,Sprout,4,5
Ron,3,3,22,1,46,0.27,42,0.46,2,Mcgonagall,3,1
Ginny,2,3,1,3,13,0.16,1,0.13,3,Lupin,3,10
Sedric,37,12,7,2,21,2.19,23,0.67,4,Trelawney,4,7
George,44,4,18,2,46,0.86,2,0.5,4,Sprout,2,4
Harry,47,3,16,0,27,0.0,26,0.77,0,Hagrid,3,4
Draco,14,4,26,2,38,1.99,16,0.38,4,Sprout,4,8
George,44,6,0,2,28,1.58,20,0.68,4,Dumbledore,2,4
George,44,3,11,2,39,1.97,9,0.57,4,Snape,3,4
Ginny,10,6,20,3,32,1.61,20,0.32,3,Mcgonagall,3,2
George,43,1,11,2,39,0.0,9,0.57,4,Snape,1,5
George,42,3,18,2,46,2.15,2,0.5,4,Sprout,3,6
Fred,19,2,18,2,27,0.51,2,0.31,4,Hagrid,2,10
Goyle,34,12,0,2,17,0.94,0,0.37,4,Dumbledore,4,3
Harry,47,2,0,0,11,0.0,10,0.61,0,Dumbledore,2,4
Harry,42,9,2,0,13,0.0,12,0.63,0,Lupin,3,9
Ginny,9,3,20,3,32,0.96,20,0.32,3,Mcgonagall,3,3
Ron,0,12,22,1,46,0.3,42,0.46,2,Mcgonagall,4,4
Fred,21,9,4,2,13,1.1,16,0.45,4,Lupin,3,8
Ron,46,6,27,1,51,1.31,47,1.01,2,Trelawney,2,8
George,47,4,29,2,57,3.16,9,0.57,4,Hagrid,4,1
Fred,28,2,12,2,21,0.88,8,0.37,4,Trelawney,1,1
Hermiona,34,4,0,2,0,0.94,0,0.38,4,Dumbledore,2,4
Crabbe,19,9,6,2,33,0.55,0,0.27,4,Trelawney,3,8
George,44,3,18,2,46,2.22,2,0.5,4,Sprout,3,4
Hermiona,32,6,0,2,0,1.41,0,0.38,4,Dumbledore,3,6
Ginny,6,8,15,3,27,1.31,15,0.27,3,Hagrid,4,6
George,45,6,4,2,32,1.76,16,0.64,4,Mcgonagall,3,3
Crabbe,17,6,6,2,33,0.32,0,0.27,4,Trelawney,2,10
George,42,9,4,2,32,1.01,16,0.64,4,Mcgonagall,3,6
Sedric,39,2,7,2,21,1.01,23,0.67,4,Trelawney,1,5
Crabbe,24,6,6,2,33,1.08,0,0.27,4,Trelawney,2,3
George,38,1,0,2,28,0.0,20,0.68,4,Dumbledore,1,10
George,43,8,18,2,46,1.69,2,0.5,4,Sprout,4,5
George,38,4,15,2,43,2.63,5,0.53,4,Lupin,4,10
Ginny,8,2,20,3,32,0.58,20,0.32,3,Mcgonagall,2,4
Crabbe,24,4,25,2,52,2.04,0,0.27,4,Mcgonagall,4,3
George,41,12,4,2,32,1.87,16,0.64,4,Mcgonagall,4,7
George,42,1,18,2,46,0.83,2,0.5,4,Sprout,1,6
Draco,13,3,9,2,21,0.3,1,0.23,4,Trelawney,1,9
Fred,23,9,0,2,9,0.82,20,0.49,4,Snape,3,6
Crabbe,21,3,0,2,27,0.75,0,0.27,4,Dumbledore,3,6
George,41,3,18,2,46,0.82,2,0.5,4,Sprout,1,7
Goyle,33,3,15,2,32,0.0,0,0.37,4,Mcgonagall,1,4
Ginny,6,4,1,3,13,0.52,1,0.13,3,Lupin,4,6
Hermiona,34,1,19,2,0,0.73,0,0.38,4,Snape,1,4
Ron,3,2,27,1,51,0.0,47,0.51,2,Trelawney,1,1
Sedric,43,2,13,2,27,2.01,17,0.61,4,Hagrid,2,1
Goyle,28,6,29,2,46,2.04,0,0.37,4,Sprout,2,9
George,46,6,11,2,39,2.04,9,0.57,4,Snape,3,2
Sedric,37,3,28,2,42,0.9,2,0.46,4,Sprout,1,7
Ron,2,3,15,1,39,0.3,35,0.39,2,Snape,3,2
Sedric,39,1,29,2,43,0.94,1,0.45,4,Lupin,1,5
Ron,49,6,15,1,39,1.15,35,0.89,2,Snape,3,5
George,43,2,23,2,51,0.0,3,0.51,4,Trelawney,1,5
Fred,27,3,4,2,13,0.43,16,0.45,4,Lupin,1,2
Goyle,34,1,0,2,17,0.47,0,0.37,4,Dumbledore,1,3
Sedric,37,8,7,2,21,2.19,23,0.67,4,Trelawney,4,7
Draco,21,3,3,2,15,0.33,7,0.29,4,Snape,1,1
George,46,4,0,2,28,2.29,20,0.68,4,Dumbledore,4,2
Draco,17,2,26,2,38,0.6,16,0.38,4,Sprout,2,5
Draco,12,8,15,2,27,0.75,5,0.27,4,Hagrid,4,10
Fred,19,9,12,2,21,1.36,8,0.37,4,Trelawney,3,10
Hermiona,28,6,0,2,0,1.0,0,0.38,4,Dumbledore,3,10
Ron,45,12,3,1,27,1.19,23,0.77,2,Hagrid,4,9
George,45,2,18,2,46,1.38,2,0.5,4,Sprout,1,3
Fred,28,2,23,2,32,0.0,3,0.32,4,Sprout,1,1
Hermiona,31,3,29,2,0,1.32,0,0.38,4,Hagrid,3,7
George,44,6,15,2,43,1.3,5,0.53,4,Lupin,3,4
Ginny,5,6,0,3,12,0.33,0,0.12,3,Dumbledore,3,7
Sedric,36,4,13,2,27,1.36,17,0.61,4,Hagrid,4,8
Hermiona,35,4,15,2,0,0.69,0,0.38,4,Lupin,2,3
Crabbe,25,12,11,2,38,1.0,0,0.27,4,Sprout,4,2
Hermiona,34,3,23,2,0,1.25,0,0.38,4,Trelawney,3,4
Ron,3,6,15,1,39,0.32,35,0.39,2,Snape,3,1
Ron,47,9,0,1,24,1.03,20,0.74,2,Dumbledore,3,7
Ron,44,4,15,1,39,1.23,35,0.89,2,Snape,4,10
Harry,41,1,2,0,13,0.0,12,0.63,0,Lupin,1,10
George,43,2,18,2,46,0.85,2,0.5,4,Sprout,1,5
Sedric,37,6,28,2,42,1.8,2,0.46,4,Sprout,2,7
Goyle,30,9,26,2,43,1.23,0,0.37,4,Lupin,3,7
Harry,41,4,0,0,11,0.0,10,0.61,0,Dumbledore,4,10
Hermiona,33,4,26,2,0,1.64,0,0.38,4,Mcgonagall,2,5
Ron,3,2,27,1,51,0.21,47,0.51,2,Trelawney,2,1
Harry,43,4,9,0,20,0.0,19,0.7,0,Mcgonagall,2,8
Draco,15,6,0,2,12,0.42,10,0.32,4,Dumbledore,2,7
Goyle,28,3,0,2,17,1.0,0,0.37,4,Dumbledore,3,9
Sedric,35,3,5,2,19,0.88,25,0.69,4,Snape,3,9
Ron,2,3,15,1,39,0.37,35,0.39,2,Snape,3,2
Goyle,29,6,10,2,27,0.54,0,0.37,4,Hagrid,2,8
Ginny,6,2,9,3,21,0.31,9,0.21,3,Trelawney,1,6
Fred,25,3,23,2,32,0.0,3,0.32,4,Sprout,1,4
Sedric,36,9,5,2,19,0.9,25,0.69,4,Snape,3,8
Sedric,35,8,13,2,27,2.39,17,0.61,4,Hagrid,4,9
George,41,4,23,2,51,3.18,3,0.51,4,Trelawney,4,7
Ron,0,1,15,1,39,0.16,35,0.39,2,Snape,1,4
Crabbe,22,2,25,2,52,0.0,0,0.27,4,Mcgonagall,1,5
Goyle,28,6,15,2,32,1.19,0,0.37,4,Mcgonagall,2,9
Harry,0,2,9,0,20,0.0,19,0.2,0,Mcgonagall,2,1
Hermiona,28,4,15,2,0,2.14,0,0.38,4,Lupin,4,10
Goyle,30,12,10,2,27,1.11,0,0.37,4,Hagrid,4,7
George,44,4,18,2,46,2.58,2,0.5,4,Sprout,4,4
Fred,23,12,23,2,32,2.29,3,0.32,4,Sprout,4,6
Sedric,41,2,29,2,43,0.0,1,0.45,4,Lupin,1,3
Ginny,8,6,4,3,16,0.4,4,0.16,3,Sprout,3,4
Goyle,28,2,29,2,46,0.79,0,0.37,4,Sprout,1,9
Sedric,41,12,29,2,43,3.48,1,0.45,4,Lupin,4,3
Goyle,36,3,26,2,43,2.22,0,0.37,4,Lupin,3,1
Ginny,7,1,15,3,27,0.0,15,0.27,3,Hagrid,1,5
Crabbe,17,6,0,2,27,0.61,0,0.27,4,Dumbledore,2,10
Draco,19,9,15,2,27,1.49,5,0.27,4,Hagrid,3,3
Hermiona,31,12,18,2,0,2.44,0,0.38,4,Sprout,4,7
George,42,8,18,2,46,2.98,2,0.5,4,Sprout,4,6
Harry,46,3,10,0,21,0.0,20,0.71,0,Trelawney,3,5
George,42,1,4,2,32,1.01,16,0.64,4,Mcgonagall,1,6
George,42,6,23,2,51,1.43,3,0.51,4,Trelawney,3,6
Draco,14,3,0,2,12,0.19,10,0.32,4,Dumbledore,1,8
Hermiona,31,3,19,2,0,1.79,0,0.38,4,Snape,3,7
Harry,42,2,9,0,20,0.0,19,0.7,0,Mcgonagall,2,9
George,38,12,4,2,32,1.16,16,0.64,4,Mcgonagall,4,10
Fred,22,2,12,2,21,0.47,8,0.37,4,Trelawney,1,7
Hermiona,36,4,29,2,0,3.23,0,0.38,4,Hagrid,4,2
Goyle,27,2,10,2,27,0.0,0,0.37,4,Hagrid,1,10
George,44,3,23,2,51,1.47,3,0.51,4,Trelawney,3,4
George,44,2,15,2,43,0.82,5,0.53,4,Lupin,1,4
Harry,46,2,25,0,36,0.0,35,0.86,0,Sprout,2,5
Draco,14,4,0,2,12,0.39,10,0.32,4,Dumbledore,4,8
Sedric,41,3,7,2,21,0.0,23,0.67,4,Trelawney,1,3
Harry,48,6,0,0,11,0.0,10,0.61,0,Dumbledore,2,3
Draco,16,12,26,2,38,1.16,16,0.38,4,Sprout,4,6
Draco,13,3,0,2,12,0.18,10,0.32,4,Dumbledore,1,9
Ron,45,3,3,1,27,1.05,23,0.77,2,Hagrid,3,9
Fred,20,4,7,2,16,1.12,13,0.42,4,Mcgonagall,4,9
Hermiona,29,4,0,2,0,0.8,0,0.38,4,Dumbledore,2,9
Ron,1,6,22,1,46,0.41,42,0.46,2,Mcgonagall,2,3
Ginny,8,8,15,3,27,0.96,15,0.27,3,Hagrid,4,4
Harry,44,12,2,0,13,0.0,12,0.63,0,Lupin,4,7
George,46,1,29,2,57,1.04,9,0.57,4,Hagrid,1,2
Ginny,4,1,20,3,32,0.0,20,0.32,3,Mcgonagall,1,8
Sedric,38,4,7,2,21,1.87,23,0.67,4,Trelawney,4,6
Goyle,36,3,4,2,21,0.88,0,0.37,4,Trelawney,3,1
George,43,2,29,2,57,1.0,9,0.57,4,Hagrid,2,5
George,42,2,23,2,51,0.0,3,0.51,4,Trelawney,1,6
Draco,12,2,1,2,13,0.36,9,0.31,4,Lupin,2,10
Crabbe,18,3,0,2,27,0.79,0,0.27,4,Dumbledore,3,9
Goyle,31,12,26,2,43,2.37,0,0.37,4,Lupin,4,6
Draco,13,1,3,2,15,0.35,7,0.29,4,Snape,1,9
George,38,1,0,2,28,0.53,20,0.68,4,Dumbledore,1,10
Hermiona,33,6,26,2,0,0.82,0,0.38,4,Mcgonagall,2,5
Sedric,35,2,28,2,42,1.75,2,0.46,4,Sprout,2,9
Goyle,29,12,4,2,21,1.37,0,0.37,4,Trelawney,4,8
Ginny,8,2,20,3,32,1.16,20,0.32,3,Mcgonagall,2,4
George,44,9,0,2,28,1.93,20,0.68,4,Dumbledore,3,4
George,41,9,18,2,46,2.11,2,0.5,4,Sprout,3,7
Hermiona,28,1,26,2,0,1.19,0,0.38,4,Mcgonagall,1,10
Harry,0,2,9,0,20,0.0,19,0.2,0,Mcgonagall,1,1
Harry,45,4,10,0,21,0.0,20,0.71,0,Trelawney,2,6
Ron,49,6,3,1,27,0.93,23,0.77,2,Hagrid,2,5
Sedric,36,2,7,2,21,1.19,23,0.67,4,Trelawney,2,8
Crabbe,19,9,18,2,45,0.81,0,0.27,4,Snape,3,8
Hermiona,30,9,26,2,0,2.01,0,0.38,4,Mcgonagall,3,8
Harry,49,4,16,0,27,0.0,26,0.77,0,Hagrid,4,2
Goyle,34,2,29,2,46,0.0,0,0.37,4,Sprout,1,3
Ron,45,3,22,1,46,0.74,42,0.96,2,Mcgonagall,1,9
Draco,12,1,9,2,21,0.0,1,0.23,4,Trelawney,1,10
Hermiona,37,6,15,2,0,1.44,0,0.38,4,Lupin,2,1
Sedric,39,9,13,2,27,1.86,17,0.61,4,Hagrid,3,5
Harry,48,8,10,0,21,0.0,20,0.71,0,Trelawney,4,3
Sedric,37,3,0,2,14,0.81,30,0.74,4,Dumbledore,3,7
Goyle,35,2,29,2,46,0.0,0,0.37,4,Sprout,1,2
Ron,49,3,3,1,27,0.0,23,0.77,2,Hagrid,1,5
Harry,46,9,0,0,11,0.0,10,0.61,0,Dumbledore,3,5
Fred,28,9,0,2,9,1.0,20,0.49,4,Dumbledore,3,1
George,39,12,15,2,43,1.5,5,0.53,4,Lupin,4,9
Goyle,30,4,15,2,32,1.25,0,0.37,4,Mcgonagall,2,7
Hermiona,37,6,23,2,0,2.15,0,0.38,4,Trelawney,2,1
Draco,21,8,1,2,13,0.61,9,0.31,4,Lupin,4,1
Fred,25,3,7,2,16,0.7,13,0.42,4,Mcgonagall,1,4
Ginny,11,6,9,3,21,1.08,9,0.21,3,Trelawney,3,1
Harry,41,6,16,0,27,0.0,26,0.77,0,Hagrid,2,10
Draco,17,6,3,2,15,0.88,7,0.29,4,Snape,3,5
Harry,43,2,9,0,20,0.0,19,0.7,0,Mcgonagall,2,8
Fred,27,4,18,2,27,1.87,2,0.31,4,Hagrid,4,2
Ginny,3,9,0,3,12,0.16,0,0.12,3,Dumbledore,3,9
Fred,26,4,0,2,9,1.29,20,0.49,4,Dumbledore,4,3
George,46,2,4,2,32,0.69,16,0.64,4,Mcgonagall,1,2
Ginny,5,9,1,3,13,0.2,1,0.13,3,Lupin,3,7
Hermiona,29,6,0,2,0,1.27,0,0.38,4,Dumbledore,3,9
Draco,18,1,26,2,38,0.0,16,0.38,4,Sprout,1,4
Ron,49,8,0,1,24,1.22,20,0.74,2,Dumbledore,4,5
Harry,46,2,9,0,20,0.0,19,0.7,0,Mcgonagall,2,5
